rep,id,eta_U,eta_L,eta_h,eta_f,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|719|8|719|cc|2|1|274|1|274|69.0,0,-4.8866e-08,0.107545,-21.5881,0,0,False,69.0|274,719
1,8|719|8|719|cc|3|1|274|1|274|69.0,0,-6.14885e-08,-0.0704972,16.6606,0,0,False,69.0|274,719
1,8|719|8|719|cc|4|1|274|1|274|69.0,0,-3.1971e-08,0.0592868,7.84044,0,0,False,69.0|274,719
1,8|719|8|719|cc|5|1|274|1|274|69.0,0,-2.11886e-08,0.0163809,0.0221045,0,0,False,69.0|274,719
1,8|719|8|719|cc|6|1|274|1|274|69.0,0,3.0356e-08,-0.0167672,57.6353,0,0,False,69.0|274,719
1,8|719|8|719|cc|7|1|274|1|274|69.0,0,3.08049e-08,-0.180099,-1.05177,0,0,False,69.0|274,719
1,8|719|8|719|cc|8|1|274|1|274|69.0,0,7.96401e-08,0.00771434,29.6161,0,0,False,69.0|274,719
1,8|719|8|719|vc|1|2|274|2|274|69.0,0,-4.5926e-08,0.062285,8.2282,0,0,False,69.0|274,719
1,8|719|8|719|vc|2|2|274|2|274|69.0,0,-7.0257e-08,0.0786061,-36.8154,0,0,False,69.0|274,719
1,8|719|8|719|vc|3|2|274|2|274|69.0,0,-8.91907e-09,-0.0470615,38.2844,0,0,False,69.0|274,719
1,8|719|8|719|vc|4|2|274|2|274|69.0,0,-1.56941e-08,-0.0111761,14.974,0,0,False,69.0|274,719
1,8|719|8|719|vc|5|2|274|2|274|69.0,0,2.61766e-08,-0.0424377,-44.5412,0,0,False,69.0|274,719
1,8|719|8|719|vc|6|2|274|2|274|69.0,0,6.32724e-08,0.0924818,-5.73175,0,0,False,69.0|274,719
1,8|719|8|719|vc|7|2|274|2|274|69.0,0,1.968e-08,-0.0602668,-57.7299,0,0,False,69.0|274,719
1,8|719|8|719|vc|8|2|274|2|274|69.0,0,8.37651e-08,0.0862796,4.17361,0,0,False,69.0|274,719
1,8|863|8|863|sample|7|274|7|274|65.0,0,2.8809e-08,0.0372937,-4.77154,0,0,True,65.0|274,863
1,8|863|8|863|sample|8|274|8|274|65.0,0,3.04893e-08,0.0133816,-2.61285,0,0,True,65.0|274,863
1,8|863|8|863|sample|6|274|6|274|65.0,0,3.40822e-09,-0.0717719,-0.201181,0,0,True,65.0|274,863
1,8|863|8|863|sample|5|274|5|274|65.0,0,-4.76371e-09,0.103899,3.04398,0,0,True,65.0|274,863
1,8|863|8|863|sample|11|274|11|274|28.0,0,3.57106e-08,-0.0159145,-1.37733,0,0,True,28.0|274,863
1,8|863|8|863|sample|12|274|12|274|28.0,0,3.89267e-08,-0.0297703,27.5689,0,0,True,28.0|274,863
1,8|863|8|863|sample|9|274|9|274|28.0,0,-6.63849e-08,-0.0501085,56.7885,0,0,True,28.0|274,863
1,8|863|8|863|sample|10|274|10|274|28.0,0,7.01567e-08,-0.0302919,41.5319,0,0,True,28.0|274,863
1,8|863|8|863|sample|5|274|5|274|28.0,0,-5.59836e-08,0.0535798,-34.4415,0,0,True,28.0|274,863
1,8|863|8|863|sample|3|274|3|274|22.0,0,8.3412e-08,0.0136721,14.4124,0,0,True,22.0|274,863
1,8|863|8|863|sample|4|274|4|274|22.0,0,4.07942e-08,-0.124257,4.59002,0,0,True,22.0|274,863
1,8|863|8|863|sample|10|274|10|274|65.0,0,6.15591e-09,-0.0116928,-40.0445,0,0,True,65.0|274,863
1,8|863|8|863|cc|1|1|274|1|274|69.0,0,1.87836e-08,-0.0142516,-3.82651,0,0,False,69.0|274,863
1,8|863|8|863|cc|2|1|274|1|274|69.0,0,-6.22547e-08,-0.0187418,-8.09029,0,0,False,69.0|274,863
1,8|863|8|863|cc|3|1|274|1|274|69.0,0,-4.62308e-09,-0.0185787,-44.456,0,0,False,69.0|274,863
1,8|863|8|863|cc|4|1|274|1|274|69.0,0,4.5676e-08,0.0642612,12.7742,0,0,False,69.0|274,863
1,8|863|8|863|cc|5|1|274|1|274|69.0,0,1.34314e-08,0.0303597,67.5178,0,0,False,69.0|274,863
1,8|863|8|863|cc|6|1|274|1|274|69.0,0,2.24114e-08,-0.0393553,9.84432,0,0,False,69.0|274,863
1,8|863|8|863|cc|7|1|274|1|274|69.0,0,-4.71136e-08,0.0582949,-11.7108,0,0,False,69.0|274,863
1,8|863|8|863|cc|8|1|274|1|274|69.0,0,9.0763e-09,-0.147753,11.3991,0,0,False,69.0|274,863
1,8|863|8|863|vc|1|2|274|2|274|69.0,0,9.11155e-09,-0.121469,0.394547,0,0,False,69.0|274,863
1,8|863|8|863|vc|2|2|274|2|274|69.0,0,-1.25366e-08,0.0773174,-23.6339,0,0,False,69.0|274,863
1,8|863|8|863|vc|3|2|274|2|274|69.0,0,-5.54536e-08,-0.0387243,12.8366,0,0,False,69.0|274,863
1,8|863|8|863|vc|4|2|274|2|274|69.0,0,-2.08156e-08,-0.0167419,-9.8036,0,0,False,69.0|274,863
1,8|863|8|863|vc|5|2|274|2|274|69.0,0,8.49229e-09,0.013258,-30.8723,0,0,False,69.0|274,863
1,8|863|8|863|vc|6|2|274|2|274|69.0,0,3.52343e-08,0.150987,-13.7856,0,0,False,69.0|274,863
1,8|863|8|863|vc|7|2|274|2|274|69.0,0,-3.69611e-08,-0.156691,-10.031,0,0,False,69.0|274,863
1,8|863|8|863|vc|8|2|274|2|274|69.0,0,4.15138e-08,-0.0193503,28.4629,0,0,False,69.0|274,863
1,8|488|8|488|sample|6|322|6|322|55.0,0,-1.17433e-08,-0.00157996,-6.51031,0,0,True,55.0|322,488
