rep,id,eta_L_gap,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|1241|8|1241|vc|7|2|69|2|69|69.0,-0.0838255,1.20136e-08,3.05259,0,0,False,69.0|69,1241
1,8|1241|8|1241|vc|8|2|69|2|69|69.0,-0.523252,4.79407e-08,-2.61614,0,0,False,69.0|69,1241
1,8|474|8|474|sample|5|276|5|276|55.0,1.52321,-4.77088e-08,-0.446327,0,0,True,55.0|276,474
1,8|474|8|474|sample|6|276|6|276|55.0,0.225748,3.25485e-08,-0.616399,0,0,True,55.0|276,474
1,8|474|8|474|sample|3|276|3|276|55.0,1.48994,-2.3554e-08,-0.689492,0,0,True,55.0|276,474
1,8|474|8|474|sample|4|276|4|276|55.0,1.3222,2.03792e-08,-0.637382,0,0,True,55.0|276,474
1,8|474|8|474|sample|9|276|9|276|32.0,0.153657,1.99428e-08,-3.80698,0,0,True,32.0|276,474
1,8|474|8|474|sample|10|276|10|276|32.0,1.25945,1.09632e-08,-3.82048,0,0,True,32.0|276,474
1,8|474|8|474|sample|8|276|8|276|32.0,-0.599972,4.01968e-09,-3.30069,0,0,True,32.0|276,474
1,8|474|8|474|sample|7|276|7|276|32.0,0.307591,-4.28589e-08,-3.62692,0,0,True,32.0|276,474
1,8|474|8|474|sample|12|276|12|276|22.0,-0.0717539,4.807e-08,-2.06478,0,0,True,22.0|276,474
1,8|474|8|474|sample|11|276|11|276|22.0,-0.945267,-1.71308e-08,-2.19415,0,0,True,22.0|276,474
1,8|474|8|474|cc|1|1|276|1|276|69.0,0.0972238,2.41406e-08,-6.75389,0,0,False,69.0|276,474
1,8|474|8|474|cc|2|1|276|1|276|69.0,0.380954,4.87193e-10,-0.666885,0,0,False,69.0|276,474
1,8|474|8|474|cc|3|1|276|1|276|69.0,-0.244628,-3.98852e-08,1.73224,0,0,False,69.0|276,474
1,8|474|8|474|cc|4|1|276|1|276|69.0,-0.0113037,-1.98913e-08,-3.8669,0,0,False,69.0|276,474
1,8|474|8|474|cc|5|1|276|1|276|69.0,-0.857034,2.88411e-08,1.94328,0,0,False,69.0|276,474
1,8|474|8|474|cc|6|1|276|1|276|69.0,0.78907,-7.28228e-09,-0.5758,0,0,False,69.0|276,474
1,8|474|8|474|cc|7|1|276|1|276|69.0,-0.281774,1.55826e-08,2.99293,0,0,False,69.0|276,474
1,8|474|8|474|cc|8|1|276|1|276|69.0,1.48385,-6.1019e-09,6.2153,0,0,False,69.0|276,474
1,8|474|8|474|vc|1|2|276|2|276|69.0,0.0662932,4.11089e-09,3.60694,0,0,False,69.0|276,474
1,8|474|8|474|vc|2|2|276|2|276|69.0,-1.47006,-2.44543e-08,-2.97359,0,0,False,69.0|276,474
1,8|474|8|474|vc|3|2|276|2|276|69.0,0.523861,-1.31145e-08,0.697922,0,0,False,69.0|276,474
