rep,id,f,h,L_gap,mab_virus,run_id
7,9|411|9|411|vc|6|2|274|2|274|69.0,0.0650485,0.78112,10.0375,69.0|274,411
8,9|411|9|411|vc|6|2|274|2|274|69.0,0.499355,0.78112,10.0375,69.0|274,411
9,9|411|9|411|vc|6|2|274|2|274|69.0,0.756333,0.78112,10.0375,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,2.63868,0.78112,10.0375,69.0|274,411
2,9|411|9|411|vc|7|2|274|2|274|69.0,2.05216,0.78112,10.0375,69.0|274,411
3,9|411|9|411|vc|7|2|274|2|274|69.0,0.00992658,0.78112,10.0375,69.0|274,411
4,9|411|9|411|vc|7|2|274|2|274|69.0,0.862982,0.78112,10.0375,69.0|274,411
5,9|411|9|411|vc|7|2|274|2|274|69.0,0.578253,0.78112,10.0375,69.0|274,411
6,9|411|9|411|vc|7|2|274|2|274|69.0,4.08561,0.78112,10.0375,69.0|274,411
7,9|411|9|411|vc|7|2|274|2|274|69.0,4.00713,0.78112,10.0375,69.0|274,411
8,9|411|9|411|vc|7|2|274|2|274|69.0,0.834052,0.78112,10.0375,69.0|274,411
9,9|411|9|411|vc|7|2|274|2|274|69.0,0.0649259,0.78112,10.0375,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,1.0563,0.78112,10.0375,69.0|274,411
2,9|411|9|411|vc|8|2|274|2|274|69.0,0.69621,0.78112,10.0375,69.0|274,411
3,9|411|9|411|vc|8|2|274|2|274|69.0,0.564804,0.78112,10.0375,69.0|274,411
4,9|411|9|411|vc|8|2|274|2|274|69.0,0.0460975,0.78112,10.0375,69.0|274,411
5,9|411|9|411|vc|8|2|274|2|274|69.0,0.197886,0.78112,10.0375,69.0|274,411
6,9|411|9|411|vc|8|2|274|2|274|69.0,0.125449,0.78112,10.0375,69.0|274,411
7,9|411|9|411|vc|8|2|274|2|274|69.0,0.113348,0.78112,10.0375,69.0|274,411
8,9|411|9|411|vc|8|2|274|2|274|69.0,58.3235,0.78112,10.0375,69.0|274,411
9,9|411|9|411|vc|8|2|274|2|274|69.0,2.27895,0.78112,10.0375,69.0|274,411
1,8|152|8|152|sample|8|322|8|322|65.0,0.233561,1.16484,2.32869,65.0|322,152
2,8|152|8|152|sample|8|322|8|322|65.0,0.21208,1.16484,2.32869,65.0|322,152
3,8|152|8|152|sample|8|322|8|322|65.0,0.186966,1.16484,2.32869,65.0|322,152
4,8|152|8|152|sample|8|322|8|322|65.0,0.202453,1.16484,2.32869,65.0|322,152
5,8|152|8|152|sample|8|322|8|322|65.0,0.216404,1.16484,2.32869,65.0|322,152
6,8|152|8|152|sample|8|322|8|322|65.0,0.216404,1.16484,2.32869,65.0|322,152
7,8|152|8|152|sample|8|322|8|322|65.0,0.223258,1.16484,2.32869,65.0|322,152
8,8|152|8|152|sample|8|322|8|322|65.0,0.206516,1.16484,2.32869,65.0|322,152
9,8|152|8|152|sample|8|322|8|322|65.0,0.217739,1.16484,2.32869,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,0.216696,1.16484,2.32869,65.0|322,152
2,8|152|8|152|sample|7|322|7|322|65.0,0.237911,1.16484,2.32869,65.0|322,152
3,8|152|8|152|sample|7|322|7|322|65.0,0.219965,1.16484,2.32869,65.0|322,152
4,8|152|8|152|sample|7|322|7|322|65.0,0.185132,1.16484,2.32869,65.0|322,152
5,8|152|8|152|sample|7|322|7|322|65.0,0.226337,1.16484,2.32869,65.0|322,152
6,8|152|8|152|sample|7|322|7|322|65.0,0.187793,1.16484,2.32869,65.0|322,152
7,8|152|8|152|sample|7|322|7|322|65.0,0.20653,1.16484,2.32869,65.0|322,152
8,8|152|8|152|sample|7|322|7|322|65.0,0.20653,1.16484,2.32869,65.0|322,152
9,8|152|8|152|sample|7|322|7|322|65.0,0.20653,1.16484,2.32869,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,0.226726,1.16484,2.32869,65.0|322,152
2,8|152|8|152|sample|6|322|6|322|65.0,0.226726,1.16484,2.32869,65.0|322,152
