id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|462|sample|11|292,1,1.95314e-05,1.63622,3.4799,0.203667,4.59531e-16,1,1.5871e-06,1.59026,3.75324,0.203179,4.62203e-16,True,22.0|292,462
8|462|sample|12|292,1,4.93373e-05,1.33271,6.0239,0.203667,4.59531e-16,1,1.58893e-06,1.3342,5.97171,0.203179,4.62203e-16,True,22.0|292,462
8|462|sample|3|292,1,0.000117385,0.739815,0.992203,0.203667,4.59531e-16,1,1.60189e-06,0.749767,0.954553,0.203179,4.62203e-16,True,55.0|292,462
8|462|sample|4|292,1,0.0255724,0.775715,1.19635,0.203667,4.59531e-16,1,1.60196e-06,0.76809,0.957235,0.203179,4.62203e-16,True,55.0|292,462
8|462|sample|5|292,1,0.000146699,0.652222,0.515791,0.203667,4.59531e-16,1,1.60238e-06,0.61434,0.577765,0.203179,4.62203e-16,True,55.0|292,462
8|462|sample|6|292,1,0.000159271,0.597761,0.764905,0.203667,4.59531e-16,1,1.60241e-06,0.596887,0.753848,0.203179,4.62203e-16,True,55.0|292,462
8|462|sample|7|292,1,2.10715e-05,2.03847,31.5247,0.203667,4.59531e-16,1,1.60088e-06,2.0159,33.083,0.203179,4.62203e-16,True,32.0|292,462
8|462|sample|8|292,1,2.06298e-05,2.13886,30.0229,0.203667,4.59531e-16,1,1.59695e-06,2.04594,31.978,0.203179,4.62203e-16,True,32.0|292,462
8|462|sample|9|292,1,4.13358e-05,2.02611,37.3245,0.203667,4.59531e-16,1,1.59871e-06,1.96737,39.5199,0.203179,4.62203e-16,True,32.0|292,462
8|462|vc|1|2|292,1,9.25007e-07,0.475844,602.503,0.203667,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.203179,4.62203e-16,False,69.0|292,462
8|462|vc|2|2|292,1,6.00306e-07,0.478211,530.28,0.203667,4.59531e-16,1,7.95394e-09,0.450058,108.894,0.203179,4.62203e-16,False,69.0|292,462
