id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|847|vc|5|2|69,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,False,69.0|69,847
8|847|vc|6|2|69,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,False,69.0|69,847
8|847|vc|7|2|69,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,False,69.0|69,847
8|847|vc|8|2|69,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,False,69.0|69,847
8|474|cc|1|1|276,1,0.00396039,0.648988,0.00860336,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.00860336,36.1497,0.283341,0.419458,False,69.0|276,474
8|474|cc|2|1|276,1,0.00396039,0.648988,0.00860336,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.00860336,36.1497,0.283341,0.419458,False,69.0|276,474
8|474|cc|3|1|276,1,0.00396039,0.648988,0.00860336,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.00860336,36.1497,0.283341,0.419458,False,69.0|276,474
8|474|cc|4|1|276,1,0.00396039,0.648988,0.00860336,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.00860336,36.1497,0.283341,0.419458,False,69.0|276,474
8|474|cc|5|1|276,1,0.00396039,0.648988,0.00860336,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.00860336,36.1497,0.283341,0.419458,False,69.0|276,474
8|474|cc|6|1|276,1,0.00396039,0.648988,0.00860336,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.00860336,36.1497,0.283341,0.419458,False,69.0|276,474
