id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,goes_down,mab_virus,run_id
14|705|14|705|vc|3|2|233|2|233|69.0,2.33852e-09,-3.03684e-10,-4.06286e-11,-1.35059e-09,1.03608,0,0,-3.63798e-12,6.58074e-12,9.58944e-12,-0.000656351,0,False,69.0|233,705
14|705|14|705|vc|4|2|233|2|233|69.0,2.86149e-09,-4.09702e-10,3.90343e-10,-1.00093e-09,-1.27741,0,0,1.81899e-12,2.19647e-12,9.3614e-13,-0.00227064,0,False,69.0|233,705
14|705|14|705|vc|5|2|233|2|233|69.0,-2.51565e-09,1.20113e-09,-9.33451e-10,-1.47676e-09,1.39944,0,0,3.63798e-12,-6.72351e-13,2.51488e-12,0.000995489,0,False,69.0|233,705
14|705|14|705|vc|6|2|233|2|233|69.0,-3.25526e-10,6.41485e-11,1.29194e-09,6.31359e-10,0.614499,0,8.73115e-11,-1.81899e-12,-5.63949e-12,3.24156e-11,0.616287,0,False,69.0|233,705
14|705|14|705|vc|7|2|233|2|233|69.0,3.37287e-09,-3.37324e-10,-3.08505e-09,-5.19043e-10,0.123897,0,0,0,-2.44249e-13,9.36806e-13,0.126277,0,False,69.0|233,705
14|705|14|705|vc|8|2|233|2|233|69.0,2.85712e-10,2.46559e-09,9.60884e-10,-1.14372e-09,-0.318741,0,0,0,5.73852e-12,1.2681e-12,-0.325669,0,False,69.0|233,705
8|152|8|152|sample|8|322|8|322|65.0,3.2445e-10,1.74309e-09,2.99576e-09,2.39782e-09,-2.6539,0,0,0,3.04645e-12,-6.70575e-13,-2.69731,0,True,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,1.93671e-09,1.80032e-09,-4.78687e-10,-1.94098e-09,-2.54539,0,-1.45519e-11,-7.27596e-12,-2.62457e-13,-3.92997e-12,-2.66429,0,True,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,3.24246e-10,-4.7901e-09,-3.84067e-09,-6.63814e-10,-2.70015,0,0,0,-3.42837e-13,-1.56541e-13,-2.76874,0,True,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,-6.07839e-09,9.55988e-10,-3.07722e-09,-2.814e-09,-2.64455,0,0,0,5.54223e-13,-2.51554e-12,-2.71622,0,True,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,-6.88451e-10,-4.82822e-10,-1.51095e-09,-6.1396e-10,-3.13425,0,0,-1.81899e-11,6.36691e-12,-4.4138e-12,-3.29531,0,True,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,6.79895e-10,2.30968e-09,-9.20772e-10,-8.63143e-10,-3.35531,0,0,-9.09495e-12,1.2963e-12,4.82414e-12,-3.48865,0,True,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,-5.62929e-09,-2.74538e-09,4.18095e-09,3.91248e-09,-3.55671,0,0,-1.81899e-12,-2.70894e-12,1.92557e-12,-3.6521,0,True,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,2.87325e-09,2.69133e-09,1.11037e-09,2.29556e-09,-3.51258,0,0,-9.09495e-12,3.58336e-12,5.76494e-12,-3.58111,0,True,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,-4.59506e-09,-5.41266e-09,-1.16495e-09,1.85129e-09,-2.98367,0,0,7.27596e-12,-9.35696e-13,-3.35953e-12,-3.01521,0,True,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,1.24652e-09,-8.11488e-11,9.34343e-10,-6.2739e-09,-2.8679,0,0,5.45697e-12,-7.65388e-13,1.49925e-12,-2.9277,0,True,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,2.97616e-09,-5.44205e-10,-8.54978e-10,-3.58485e-10,-0.545951,0,-1.45519e-11,-3.63798e-12,0,-3.33067e-16,-3.64054e-07,0,False,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,2.26486e-10,2.60678e-09,1.77771e-10,2.04024e-09,-1.06921,0,1.45519e-11,0,2.88658e-15,-1.33227e-15,4.84733e-07,0,False,69.0|322,152
8|152|8|152|cc|3|1|322|1|322|69.0,-3.25113e-09,-1.29201e-09,2.44646e-10,-5.93444e-10,-0.081631,0,-1.45519e-11,0,8.88178e-16,1.33227e-15,-1.04185e-06,0,False,69.0|322,152
8|152|8|152|cc|4|1|322|1|322|69.0,2.68177e-09,-3.42228e-10,-1.47296e-09,1.68569e-09,-1.01345,0,2.47383e-10,-3.45608e-11,1.24249e-10,1.53551e-10,-0.936648,0,False,69.0|322,152
8|152|8|152|cc|5|1|322|1|322|69.0,-2.36058e-09,4.52292e-10,1.13029e-09,-1.70853e-09,-0.614888,0,1.45519e-11,0,-1.33227e-15,-2.88658e-15,-2.68778e-07,0,False,69.0|322,152
8|152|8|152|cc|6|1|322|1|322|69.0,-5.73869e-10,-2.49005e-09,9.03122e-11,-3.29523e-09,1.1915,0,1.45519e-11,0,2.22045e-15,6.66134e-16,-9.72734e-07,0,False,69.0|322,152
8|152|8|152|cc|7|1|322|1|322|69.0,-1.68665e-09,-3.50556e-09,-9.70477e-10,-1.14687e-09,0.883874,0,0,1.81899e-12,-1.71108e-12,-7.10942e-12,0.000239134,0,False,69.0|322,152
8|152|8|152|cc|8|1|322|1|322|69.0,-3.14755e-09,-2.25863e-09,2.54923e-10,-8.89055e-11,-0.943254,0,0,0,-1.62248e-12,6.98552e-12,1.83043e-05,0,False,69.0|322,152
8|152|8|152|vc|1|2|322|2|322|69.0,-4.50207e-10,7.56114e-10,2.85587e-11,6.38972e-10,-0.0678416,0,1.45519e-11,0,-2.39364e-13,7.20313e-13,-0.0677944,0,False,69.0|322,152
8|152|8|152|vc|2|2|322|2|322|69.0,1.12911e-09,-1.32711e-09,-4.37455e-10,-3.55376e-10,0.258008,0,-1.45519e-11,0,2.22045e-16,2.88658e-15,-4.38728e-07,0,False,69.0|322,152
8|152|8|152|vc|3|2|322|2|322|69.0,-2.15168e-09,-8.86186e-10,9.68665e-10,-1.44258e-09,-1.25729,0,-1.45519e-11,-5.45697e-12,3.26761e-12,3.87046e-12,-0.00151576,0,False,69.0|322,152
8|152|8|152|vc|4|2|322|2|322|69.0,6.2515e-11,9.88864e-10,-5.0174e-11,-8.49335e-10,1.22341,0,1.45519e-11,0,-1.33227e-15,1.9984e-15,1.08484e-06,0,False,69.0|322,152
8|152|8|152|vc|5|2|322|2|322|69.0,-1.3937e-09,-1.48204e-10,-2.45262e-09,1.9473e-10,-1.06417,0,-1.45519e-11,0,-1.77636e-15,-1.66533e-15,5.836e-07,0,False,69.0|322,152
8|152|8|152|vc|6|2|322|2|322|69.0,1.08589e-09,1.36984e-09,3.97435e-11,1.84941e-09,-1.00887,0,1.45519e-11,0,-5.9508e-14,-1.45217e-13,-7.22048e-05,0,False,69.0|322,152
8|152|8|152|vc|7|2|322|2|322|69.0,-2.67627e-09,-1.33349e-09,1.21542e-09,9.10469e-10,0.165788,0,1.45519e-11,0,-4.05453e-13,-7.81264e-13,0.167904,0,False,69.0|322,152
8|152|8|152|vc|8|2|322|2|322|69.0,-5.97959e-09,-1.47062e-10,-1.8159e-09,1.44981e-09,-0.272001,0,1.45519e-11,7.27596e-12,-6.9722e-14,2.15428e-12,-0.275471,0,False,69.0|322,152
8|1159|8|1159|sample|8|292|8|292|65.0,1.49049e-09,8.46579e-10,-1.66181e-09,-1.09449e-09,-1.5354,0,0,0,-3.55271e-15,-7.14984e-14,-1.65447,0,True,65.0|292,1159
8|1159|8|1159|sample|7|292|7|292|65.0,-1.92568e-09,4.63978e-09,-3.52136e-10,-2.2109e-10,-1.42764,0,-2.91038e-11,0,-3.28626e-14,5.77316e-15,-1.57722,0,True,65.0|292,1159
8|1159|8|1159|sample|5|292|5|292|65.0,7.75239e-10,-6.34867e-10,1.13617e-09,3.52081e-09,-1.36889,0,-2.91038e-11,0,2.75779e-12,9.98712e-12,-1.51133,0,True,65.0|292,1159
8|1159|8|1159|sample|6|292|6|292|65.0,5.66145e-09,2.26266e-09,1.37564e-09,-2.20415e-09,-1.40163,0,2.91038e-11,0,1.04361e-14,-4.13003e-14,-1.48935,0,True,65.0|292,1159
8|1159|8|1159|sample|11|292|11|292|28.0,1.37324e-09,-4.24969e-09,4.09281e-10,-1.88446e-09,-3.03922,0,0,0,2.22045e-16,2.26485e-14,-3.16322,0,True,28.0|292,1159
8|1159|8|1159|sample|12|292|12|292|28.0,-6.76222e-09,2.07018e-09,-9.71292e-10,1.10922e-09,-3.12553,0,0,-5.45697e-12,2.00795e-12,1.3034e-12,-3.25672,0,True,28.0|292,1159
8|1159|8|1159|sample|9|292|9|292|28.0,-3.71394e-10,1.97773e-09,-2.07169e-09,2.61805e-09,-2.50891,0,0,0,2.70894e-14,-3.5083e-14,-2.5772,0,True,28.0|292,1159
8|1159|8|1159|sample|10|292|10|292|28.0,-8.71747e-10,-1.32539e-10,9.89578e-10,-3.18517e-09,-2.63818,0,1.45519e-11,-7.27596e-12,1.88294e-12,-3.0469e-12,-2.78371,0,True,28.0|292,1159
8|1159|8|1159|sample|4|292|4|292|22.0,-7.75102e-09,-5.75419e-10,4.74551e-10,-9.00702e-11,-1.07722,0,0,-1.81899e-12,-1.11022e-14,1.22125e-14,-1.08241,0,True,22.0|292,1159
8|1159|8|1159|sample|3|292|3|292|22.0,2.83937e-09,5.97924e-10,1.50033e-09,-3.19852e-09,-1.1166,0,0,-1.81899e-12,0,-1.02141e-14,-1.1366,0,True,22.0|292,1159
8|1159|8|1159|cc|1|1|292|1|292|69.0,3.82366e-10,-1.3072e-09,-1.68851e-09,6.63302e-10,-0.192581,0,0,0,0,0,2.39702e-06,0,False,69.0|292,1159
