id,U_offset_SAEM,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,U_offset_mode,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|297|vc|2|2|71,0.0140518,835.216,0.838852,0.971016,10.3387,-10.6994,316137,0.0139281,835.216,0.838563,0.971016,0.5814,-10.702,316687,False,69.0|71,297
14|297|vc|3|2|71,0.0140518,835.216,0.838852,0.971016,9.30501,-10.6994,316137,0.0139281,835.216,0.838563,0.971016,0.5814,-10.702,316687,False,69.0|71,297
14|297|vc|4|2|71,0.0140518,835.216,0.838852,0.971016,7.58559,-10.6994,316137,0.0139281,835.216,0.838563,0.971016,0.5814,-10.702,316687,False,69.0|71,297
14|297|vc|5|2|71,0.0140518,835.216,0.838852,0.971016,8.88227,-10.6994,316137,0.0139281,835.216,0.838563,0.971016,0.5814,-10.702,316687,False,69.0|71,297
14|297|vc|6|2|71,0.0140518,835.216,0.838852,0.971016,4.65588,-10.6994,316137,0.0139281,835.216,0.838563,0.971016,0.581399,-10.702,316687,False,69.0|71,297
14|297|vc|7|2|71,0.0140518,835.216,0.838852,0.971016,6.62728,-10.6994,316137,0.0139281,835.216,0.838563,0.971016,0.581399,-10.702,316687,False,69.0|71,297
14|297|vc|8|2|71,0.0140518,835.216,0.838852,0.971016,4.9006,-10.6994,316137,0.0139281,835.216,0.838563,0.971016,0.5814,-10.702,316687,False,69.0|71,297
14|183|sample|4|233,0.0140518,833.71,0.838904,0.159087,9.30754,-10.6995,316137,0.0139281,833.71,0.838615,0.159087,9.44272,-10.702,316687,True,6.0|233,183
14|183|sample|3|233,0.0140518,833.71,0.838904,0.159087,10.4949,-10.6995,316137,0.0139281,833.71,0.838615,0.159087,9.95021,-10.702,316687,True,6.0|233,183
14|183|sample|6|233,0.0140518,833.71,0.838904,0.159087,16.5873,-10.6995,316137,0.0139281,833.71,0.838615,0.159087,17.0406,-10.702,316687,True,6.0|233,183
14|183|sample|5|233,0.0140518,833.71,0.838904,0.159087,17.7568,-10.6995,316137,0.0139281,833.71,0.838615,0.159087,17.0897,-10.702,316687,True,6.0|233,183
14|183|sample|7|233,0.0140518,833.71,0.838904,0.159087,7.26225,-10.6995,316137,0.0139281,833.71,0.838615,0.159087,7.42062,-10.702,316687,True,6.0|233,183
14|183|sample|8|233,0.0140518,833.71,0.838904,0.159087,7.09903,-10.6995,316137,0.0139281,833.71,0.838615,0.159087,7.38119,-10.702,316687,True,6.0|233,183
14|183|sample|10|233,0.0140518,833.71,0.838904,0.159087,24.2682,-10.6995,316137,0.0139281,833.71,0.838615,0.159087,24.0596,-10.702,316687,True,6.0|233,183
14|183|sample|9|233,0.0140518,833.71,0.838904,0.159087,18.2391,-10.6995,316137,0.0139281,833.71,0.838615,0.159087,18.6949,-10.702,316687,True,6.0|233,183
14|183|sample|12|233,0.0140518,833.71,0.838904,0.159087,7.26556,-10.6995,316137,0.0139281,833.71,0.838615,0.159087,7.26622,-10.702,316687,True,6.0|233,183
14|183|sample|11|233,0.0140518,833.71,0.838904,0.159087,3.96476,-10.6995,316137,0.0139281,833.71,0.838615,0.159087,3.93999,-10.702,316687,True,6.0|233,183
14|183|cc|1|1|233,0.0140518,835.275,0.838943,0.349418,1.20696,-10.6995,316137,0.0139281,835.275,0.838653,0.349418,0.368093,-10.702,316687,False,69.0|233,183
14|183|cc|2|1|233,0.0140518,835.275,0.838943,0.349418,2.89855,-10.6995,316137,0.0139281,835.275,0.838653,0.349418,0.368093,-10.702,316687,False,69.0|233,183
14|183|cc|3|1|233,0.0140518,835.275,0.838943,0.349418,1.46729,-10.6995,316137,0.0139281,835.275,0.838653,0.349418,0.368093,-10.702,316687,False,69.0|233,183
14|183|cc|4|1|233,0.0140518,835.275,0.838943,0.349418,1.48286,-10.6995,316137,0.0139281,835.275,0.838653,0.349418,0.368093,-10.702,316687,False,69.0|233,183
14|183|cc|5|1|233,0.0140518,835.275,0.838943,0.349418,1.78586,-10.6995,316137,0.0139281,835.275,0.838653,0.349418,0.368093,-10.702,316687,False,69.0|233,183
14|183|cc|6|1|233,0.0140518,835.275,0.838943,0.349418,1.2623,-10.6995,316137,0.0139281,835.275,0.838653,0.349418,0.368093,-10.702,316687,False,69.0|233,183
14|183|cc|7|1|233,0.0140518,835.275,0.838943,0.349419,2.01657,-10.6995,316137,0.0139281,835.275,0.838653,0.349418,0.368093,-10.702,316687,False,69.0|233,183
14|183|cc|8|1|233,0.0140518,835.275,0.838943,0.349418,1.76557,-10.6995,316137,0.0139281,835.275,0.838653,0.349418,0.368093,-10.702,316687,False,69.0|233,183
