id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|474|vc|8|2|276,0,-2.7844e-07,-0.0272651,0.0745823,0,0,0,4.61409e-13,5.32257e-08,-3.6527e-07,0,0,False,69.0|276,474
8|462|cc|1|1|292,0,6.25223e-07,0.0473679,0.0153959,0,0,0,8.43325e-13,-2.14281e-07,-1.41456e-07,0,0,False,69.0|292,462
8|462|cc|2|1|292,0,3.60011e-07,-0.0490764,-0.0119323,0,0,0,-6.89671e-13,-3.25915e-07,3.37508e-07,0,0,False,69.0|292,462
8|462|cc|3|1|292,0,-1.09834e-07,-0.0932172,-0.160675,0,0,0,9.13936e-13,-2.11426e-07,3.82002e-07,0,0,False,69.0|292,462
8|462|cc|4|1|292,0,-4.59764e-07,0.0265277,0.0153351,0,0,0,9.14824e-14,3.61613e-08,-3.8971e-07,0,0,False,69.0|292,462
8|462|cc|5|1|292,0,1.33957e-07,0.0261081,-0.0742023,0,0,0,8.14904e-14,-2.64765e-07,7.19371e-09,0,0,False,69.0|292,462
8|462|cc|6|1|292,0,7.93701e-08,-0.0271882,0.0984531,0,0,0,-4.08784e-13,-3.87022e-08,-4.13097e-07,0,0,False,69.0|292,462
8|462|cc|7|1|292,0,1.05878e-07,-0.0527226,0.0814638,0,0,0,-7.8515e-13,-2.5811e-07,-2.57986e-07,0,0,False,69.0|292,462
8|462|cc|8|1|292,0,4.98794e-08,0.0134039,-0.0245759,0,0,0,-1.63647e-12,-1.79088e-08,-1.37592e-07,0,0,False,69.0|292,462
8|462|sample|10|292,0,3.95266e-07,0.848282,0.98533,0,0,0,-1.73855e-10,1.15765,0.648769,0,0,True,32.0|292,462
8|462|sample|11|292,0,1.00861e-08,0.404727,-0.851419,0,0,0,-5.90219e-11,0.629596,-1.02217,0,0,True,22.0|292,462
8|462|sample|12|292,0,4.19453e-07,0.921091,-1.11581,0,0,0,-8.52303e-11,1.35303,-1.34245,0,0,True,22.0|292,462
8|462|sample|3|292,0,-2.87806e-07,1.82603,-3.56034,0,0,0,-1.3733e-11,1.81338,-3.54213,0,0,True,55.0|292,462
8|462|sample|4|292,0,1.10244e-07,1.79783,-3.53824,0,0,0,-5.17453e-12,1.80722,-3.51404,0,0,True,55.0|292,462
8|462|sample|5|292,0,5.3873e-07,1.83448,-3.73785,0,0,0,-9.50884e-12,1.29826,-3.55843,0,0,True,55.0|292,462
8|462|sample|6|292,0,-6.72439e-07,1.42268,-3.5466,0,0,0,1.79412e-12,1.35581,-3.51015,0,0,True,55.0|292,462
8|462|sample|7|292,0,-1.84787e-07,0.274632,1.22988,0,0,0,-9.3916e-12,0.69076,0.868299,0,0,True,32.0|292,462
8|462|sample|8|292,0,-5.16321e-08,0.366305,1.07899,0,0,0,2.82012e-11,0.583914,0.929268,0,0,True,32.0|292,462
8|462|sample|9|292,0,4.89831e-07,0.610803,1.12301,0,0,0,-4.63658e-11,0.898706,0.849712,0,0,True,32.0|292,462
8|462|vc|1|2|292,0,1.93724e-07,-0.0242374,-0.0384123,0,0,0,-9.82325e-13,1.33538e-07,-3.61906e-08,0,0,False,69.0|292,462
8|462|vc|2|2|292,0,-3.69017e-07,-0.0762175,0.0575205,0,0,0,2.49578e-13,-3.40355e-07,5.01672e-08,0,0,False,69.0|292,462
8|462|vc|3|2|292,0,2.23795e-07,-0.0162537,0.105452,0,0,0,1.33427e-12,-5.8228e-08,4.06492e-07,0,0,False,69.0|292,462
8|462|vc|4|2|292,0,-3.90625e-07,-0.099796,0.0583178,0,0,0,2.82441e-13,-4.21447e-07,2.76366e-07,0,0,False,69.0|292,462
8|462|vc|5|2|292,0,1.24383e-07,0.00305045,0.0611858,0,0,0,1.01519e-12,-2.03652e-07,-5.22973e-07,0,0,False,69.0|292,462
8|462|vc|6|2|292,0,4.04234e-07,-0.106599,0.00940617,0,0,0,-5.34239e-13,-8.39248e-09,-4.63416e-07,0,0,False,69.0|292,462
8|462|vc|7|2|292,0,5.14466e-07,-0.0397902,0.0779016,0,0,0,2.33547e-12,5.48443e-08,-3.92059e-07,0,0,False,69.0|292,462
8|462|vc|8|2|292,0,4.36089e-07,0.024279,-0.0553055,0,0,0,1.59961e-12,-6.94779e-08,-5.12304e-07,0,0,False,69.0|292,462
8|75|cc|1|1|65,0,3.32295e-07,0.120205,0.160616,0,0,0,-3.02869e-13,2.51461e-07,8.98311e-09,0,0,False,69.0|65,75
8|75|cc|2|1|65,0,-2.74416e-07,0.143043,-0.145149,0,0,0,-9.08607e-13,6.7152e-08,-2.41633e-07,0,0,False,69.0|65,75
8|75|cc|3|1|65,0,2.33874e-07,-0.0165407,-0.0834139,0,0,0,-2.06057e-13,-3.67417e-08,-1.871e-07,0,0,False,69.0|65,75
8|75|cc|4|1|65,0,2.85337e-07,-0.0940928,0.082782,0,0,0,5.96412e-13,5.30572e-09,5.34339e-07,0,0,False,69.0|65,75
8|75|cc|5|1|65,0,1.67134e-07,-0.086007,-0.0418885,0,0,0,-1.7808e-13,-2.52484e-07,-2.03513e-07,0,0,False,69.0|65,75
8|75|cc|6|1|65,0,-6.56017e-07,0.0945518,-0.0236248,0,0,0,8.5798e-13,-1.72822e-07,-4.06097e-07,0,0,False,69.0|65,75
8|75|cc|7|1|65,0,-1.62062e-07,0.0477014,0.0782689,0,0,0,-1.6469e-12,4.39004e-08,5.98853e-08,0,0,False,69.0|65,75
8|75|cc|8|1|65,0,4.93711e-08,0.0303646,-0.238348,0,0,0,-1.86517e-13,-1.56929e-07,3.98655e-07,0,0,False,69.0|65,75
8|75|sample|10|65,0,-7.52321e-07,0.498933,-3.40713,0,0,0,-6.5592e-12,0.556228,-3.4771,0,0,True,32.0|65,75
8|75|sample|11|65,0,-8.08786e-07,0.154729,0.397435,0,0,0,-1.44627e-11,0.157444,0.380388,0,0,True,22.0|65,75
8|75|sample|12|65,0,-3.48347e-10,0.340826,0.793655,0,0,0,-7.96472e-11,0.433646,0.772576,0,0,True,22.0|65,75
8|75|sample|3|65,0,-1.05798e-06,-0.0437492,0.552093,0,0,0,1.09975e-10,-0.0320443,0.534651,0,0,True,55.0|65,75
8|75|sample|4|65,0,5.63479e-07,-0.0767324,0.49698,0,0,0,6.3514e-11,0.0454046,0.423984,0,0,True,55.0|65,75
