id,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|297|cc|4|1|71,757.713,2.37339,880.975,154.829,0.0153263,757.713,2.38916,108.259,154.911,0.0153069,False,69.0|71,297
14|297|cc|5|1|71,757.713,2.39432,768.855,154.829,0.0153263,757.713,2.38916,108.259,154.911,0.0153069,False,69.0|71,297
14|297|cc|6|1|71,757.713,2.36431,636.753,154.829,0.0153263,757.713,2.38916,108.259,154.911,0.0153069,False,69.0|71,297
14|297|cc|7|1|71,757.713,2.39529,584.059,154.829,0.0153263,757.713,2.38916,108.259,154.911,0.0153069,False,69.0|71,297
14|297|cc|8|1|71,757.713,2.40349,1269.67,154.829,0.0153263,757.713,2.38916,108.259,154.911,0.0153069,False,69.0|71,297
14|297|vc|1|2|71,757.713,2.33978,1249.83,154.829,0.0153263,757.713,2.38916,108.259,154.911,0.0153069,False,69.0|71,297
14|297|vc|2|2|71,757.713,2.43482,554.676,154.829,0.0153263,757.713,2.38916,108.259,154.911,0.0153069,False,69.0|71,297
14|297|vc|3|2|71,757.713,2.4241,1204.13,154.829,0.0153263,757.713,2.38916,108.259,154.911,0.0153069,False,69.0|71,297
14|297|vc|4|2|71,757.713,2.41292,1077.33,154.829,0.0153263,757.713,2.38916,108.259,154.911,0.0153069,False,69.0|71,297
14|297|vc|5|2|71,757.713,2.38124,1993.63,154.829,0.0153263,757.713,2.38916,108.259,154.911,0.0153069,False,69.0|71,297
14|297|vc|6|2|71,757.713,2.40591,928.358,154.829,0.0153263,757.713,2.38916,108.259,154.911,0.0153069,False,69.0|71,297
14|297|vc|7|2|71,757.713,2.42062,1277.6,154.829,0.0153263,757.713,2.38916,108.259,154.911,0.0153069,False,69.0|71,297
14|297|vc|8|2|71,757.713,2.35944,922.213,154.829,0.0153263,757.713,2.38916,108.259,154.911,0.0153069,False,69.0|71,297
14|183|sample|4|233,757.151,1.87755,0.347411,154.811,0.0153191,757.151,1.77284,0.328597,154.893,0.0153001,True,6.0|233,183
14|183|sample|3|233,757.151,1.77527,0.302162,154.811,0.0153191,757.151,1.70223,0.30654,154.893,0.0153001,True,6.0|233,183
14|183|sample|6|233,757.151,1.788,0.166499,154.811,0.0153191,757.151,1.74054,0.158054,154.893,0.0153001,True,6.0|233,183
14|183|sample|5|233,757.151,1.77846,0.159519,154.811,0.0153191,757.151,1.70864,0.159474,154.893,0.0153001,True,6.0|233,183
14|183|sample|7|233,757.151,1.92587,0.469449,154.811,0.0153191,757.151,1.88684,0.447614,154.893,0.0153001,True,6.0|233,183
14|183|sample|8|233,757.151,1.82708,0.453962,154.811,0.0153191,757.151,1.82659,0.452315,154.893,0.0153001,True,6.0|233,183
14|183|sample|10|233,757.151,1.54695,0.106762,154.811,0.0153191,757.151,1.52049,0.101332,154.893,0.0153001,True,6.0|233,183
14|183|sample|9|233,757.151,1.66972,0.149609,154.811,0.0153191,757.151,1.67123,0.143936,154.893,0.0153001,True,6.0|233,183
14|183|sample|12|233,757.151,0.787932,0.216321,154.811,0.0153191,757.151,0.734275,0.200054,154.893,0.0153001,True,6.0|233,183
14|183|sample|11|233,757.151,1.58336,1.10932,154.811,0.0153191,757.151,1.54626,1.0818,154.893,0.0153001,True,6.0|233,183
14|183|cc|1|1|233,756.737,2.41491,710.109,154.811,0.0153191,756.737,2.38916,108.259,154.893,0.0153001,False,69.0|233,183
14|183|cc|2|1|233,756.737,2.31786,995.875,154.811,0.0153191,756.737,2.38916,108.259,154.893,0.0153001,False,69.0|233,183
14|183|cc|3|1|233,756.737,2.32709,1240.65,154.811,0.0153191,756.737,2.38916,108.259,154.893,0.0153001,False,69.0|233,183
14|183|cc|4|1|233,756.737,2.37555,2263.31,154.811,0.0153191,756.737,2.38916,108.259,154.893,0.0153001,False,69.0|233,183
14|183|cc|5|1|233,756.737,2.39272,593.068,154.811,0.0153191,756.737,2.38916,108.259,154.893,0.0153001,False,69.0|233,183
14|183|cc|6|1|233,756.737,2.39148,975.2,154.811,0.0153191,756.737,2.38916,108.259,154.893,0.0153001,False,69.0|233,183
14|183|cc|7|1|233,756.737,2.42754,759.66,154.811,0.0153191,756.737,2.38916,108.259,154.893,0.0153001,False,69.0|233,183
14|183|cc|8|1|233,756.737,2.41949,578.742,154.811,0.0153191,756.737,2.38916,108.259,154.893,0.0153001,False,69.0|233,183
14|183|vc|1|2|233,756.737,2.40392,1164.04,154.811,0.0153191,756.737,2.38916,108.259,154.893,0.0153001,False,69.0|233,183
14|183|vc|2|2|233,756.737,2.39187,757.726,154.811,0.0153191,756.737,2.38916,108.259,154.893,0.0153001,False,69.0|233,183
14|183|vc|3|2|233,756.737,2.42891,1035.24,154.811,0.0153191,756.737,2.38916,108.259,154.893,0.0153001,False,69.0|233,183
14|183|vc|4|2|233,756.737,2.33228,1008.44,154.811,0.0153191,756.737,2.38916,108.259,154.893,0.0153001,False,69.0|233,183
14|183|vc|5|2|233,756.737,2.38144,597.821,154.811,0.0153191,756.737,2.38916,108.259,154.893,0.0153001,False,69.0|233,183
14|183|vc|6|2|233,756.737,2.3978,1139.46,154.811,0.0153191,756.737,2.38916,108.259,154.893,0.0153001,False,69.0|233,183
14|183|vc|7|2|233,756.737,2.41232,774.566,154.811,0.0153191,756.737,2.38916,108.259,154.893,0.0153001,False,69.0|233,183
14|183|vc|8|2|233,756.737,2.43332,811.686,154.811,0.0153191,756.737,2.38916,108.259,154.893,0.0153001,False,69.0|233,183
14|705|sample|3|233,757.938,2.30531,477.18,154.811,0.535409,757.938,2.40023,39.2551,154.893,0.548913,False,6.0|233,705
14|705|sample|4|233,757.938,2.40787,235.68,154.811,0.535409,757.938,2.39255,47.4867,154.893,0.548913,False,6.0|233,705
14|705|sample|5|233,757.938,2.37391,640.166,154.811,0.535409,757.938,2.38582,46.5507,154.893,0.548913,False,6.0|233,705
14|705|sample|6|233,757.938,2.35946,1588.76,154.811,0.535409,757.938,2.39261,46.9049,154.893,0.548913,False,6.0|233,705
14|705|sample|7|233,757.938,2.42126,100.027,154.811,0.535409,757.938,2.4023,36.7977,154.893,0.548913,False,6.0|233,705
14|705|sample|8|233,757.938,2.32098,241.957,154.811,0.535409,757.938,2.38679,46.0698,154.893,0.548913,False,6.0|233,705
14|705|sample|10|233,757.151,1.69333,0.181767,154.811,0.535409,757.151,1.71072,0.183193,154.893,0.548913,True,6.0|233,705
14|705|sample|9|233,757.151,1.80605,0.249046,154.811,0.535409,757.151,1.81635,0.244323,154.893,0.548913,True,6.0|233,705
14|705|sample|12|233,757.151,0.956543,0.0673766,154.811,0.535409,757.151,0.893275,0.0621477,154.893,0.548913,True,6.0|233,705
14|705|sample|11|233,757.151,1.69238,0.264845,154.811,0.535409,757.151,1.68018,0.252539,154.893,0.548913,True,6.0|233,705
14|705|cc|1|1|233,756.737,2.45276,1455.06,154.811,0.535409,756.737,2.38916,108.259,154.893,0.548913,False,69.0|233,705
14|705|cc|2|1|233,756.737,2.37134,549.182,154.811,0.535409,756.737,2.38916,108.259,154.893,0.548913,False,69.0|233,705
14|705|cc|3|1|233,756.737,2.34916,1508.11,154.811,0.535409,756.737,2.38916,108.259,154.893,0.548913,False,69.0|233,705
14|705|cc|4|1|233,756.737,2.36129,646.366,154.811,0.535409,756.737,2.38916,108.259,154.893,0.548913,False,69.0|233,705
14|705|cc|5|1|233,756.737,2.37754,811.937,154.811,0.535409,756.737,2.38916,108.259,154.893,0.548913,False,69.0|233,705
14|705|cc|6|1|233,756.737,2.4101,1740.1,154.811,0.535409,756.737,2.38916,108.259,154.893,0.548913,False,69.0|233,705
14|705|cc|7|1|233,756.737,2.38146,979.771,154.811,0.535409,756.737,2.38916,108.259,154.893,0.548913,False,69.0|233,705
14|705|cc|8|1|233,756.737,2.35763,976.06,154.811,0.535409,756.737,2.38916,108.259,154.893,0.548913,False,69.0|233,705
14|705|vc|1|2|233,756.737,2.38607,1590.59,154.811,0.535409,756.737,2.38916,108.259,154.893,0.548913,False,69.0|233,705
14|705|vc|2|2|233,756.737,2.36389,1072.88,154.811,0.535409,756.737,2.38916,108.259,154.893,0.548913,False,69.0|233,705
14|705|vc|3|2|233,756.737,2.35124,1408.61,154.811,0.535409,756.737,2.38916,108.259,154.893,0.548913,False,69.0|233,705
14|705|vc|4|2|233,756.737,2.35969,555.048,154.811,0.535409,756.737,2.38916,108.259,154.893,0.548913,False,69.0|233,705
14|705|vc|5|2|233,756.737,2.37129,1487.0,154.811,0.535409,756.737,2.38916,108.259,154.893,0.548913,False,69.0|233,705
14|705|vc|6|2|233,756.737,2.39393,1258.85,154.811,0.535409,756.737,2.38916,108.259,154.893,0.548913,False,69.0|233,705
14|705|vc|7|2|233,756.737,2.40486,845.853,154.811,0.535409,756.737,2.38916,108.259,154.893,0.548913,False,69.0|233,705
14|705|vc|8|2|233,756.737,2.34424,1512.68,154.811,0.535409,756.737,2.38916,108.259,154.893,0.548913,False,69.0|233,705
14|555|sample|4|233,757.151,1.0158,2.67334,154.811,0.0153212,757.151,1.03037,2.69846,154.893,0.0153023,True,6.0|233,555
14|555|sample|3|233,757.151,0.982844,2.81106,154.811,0.0153212,757.151,0.984611,2.74984,154.893,0.0153023,True,6.0|233,555
14|555|sample|5|233,757.151,0.978093,3.22067,154.811,0.0153212,757.151,0.92744,2.8499,154.893,0.0153023,True,6.0|233,555
14|555|sample|6|233,757.151,0.892028,2.7405,154.811,0.0153212,757.151,0.884652,2.62912,154.893,0.0153023,True,6.0|233,555
14|555|sample|7|233,757.151,1.64336,0.24658,154.811,0.0153212,757.151,1.60235,0.237732,154.893,0.0153023,True,6.0|233,555
