rep,id,eta_U_offset,eta_L,eta_m,eta_e,eta_s,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,14|1099|sample|4|73,0,-1.02648e-06,0,-4.10678e-09,-1.89752,0,0,True,6.0|73,1099
1,14|1099|sample|5|73,0,8.6386e-07,0,1.72744e-07,-2.28391,0,0,True,6.0|73,1099
1,14|1099|sample|6|73,0,-6.95146e-07,0,2.89098e-06,-2.17371,0,0,True,6.0|73,1099
1,14|1099|sample|8|73,0,-1.25509e-06,0,-8.37596e-07,-3.26094,0,0,True,6.0|73,1099
1,14|1099|sample|7|73,0,1.93862e-06,0,-2.48383e-06,-3.18171,0,0,True,6.0|73,1099
1,14|1099|sample|9|73,0,3.62002e-06,0,2.58228e-06,-2.48646,0,0,True,6.0|73,1099
1,14|1099|sample|10|73,0,-2.16129e-06,0,1.87633e-06,-1.6674,0,0,True,6.0|73,1099
1,14|1099|sample|11|73,0,4.40672e-06,0,-5.45393e-06,-3.48666,0,0,True,6.0|73,1099
1,14|1099|sample|12|73,0,3.77771e-07,0,-3.83514e-06,-3.46711,0,0,True,6.0|73,1099
1,14|1099|cc|1|1|73,0,3.27711e-06,0,3.80635e-07,-1.6619,0,0,False,69.0|73,1099
1,14|1099|cc|2|1|73,0,1.85779e-06,0,3.47655e-06,-2.50768,0,0,False,69.0|73,1099
1,14|1099|cc|3|1|73,0,-6.99445e-07,0,-3.66549e-06,0.810746,0,0,False,69.0|73,1099
1,14|1099|cc|4|1|73,0,1.26762e-06,0,-2.79e-06,-0.953495,0,0,False,69.0|73,1099
