rep,id,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,8|847|sample|8|69,474.605,1.37468,17.1148,67107.4,14.4742,True,32.0|69,847
1,8|847|sample|9|69,474.605,1.37468,19.0355,67107.4,14.4742,True,32.0|69,847
1,8|847|vc|1|2|69,474.604,1.37472,11.2326,67107.4,14.4742,False,69.0|69,847
1,8|847|vc|2|2|69,474.604,1.37472,2.59759,67107.4,14.4742,False,69.0|69,847
1,8|847|vc|3|2|69,474.604,1.37472,27.5903,67107.4,14.4742,False,69.0|69,847
1,8|847|vc|4|2|69,474.604,1.37472,0.663039,67107.4,14.4742,False,69.0|69,847
1,8|847|vc|5|2|69,474.604,1.37472,31.4932,67107.4,14.4742,False,69.0|69,847
1,8|847|vc|6|2|69,474.604,1.37472,16.9381,67107.4,14.4742,False,69.0|69,847
1,8|847|vc|7|2|69,474.604,1.37472,6.35787,67107.4,14.4742,False,69.0|69,847
1,8|847|vc|8|2|69,474.604,1.37472,86.1447,67107.4,14.4742,False,69.0|69,847
1,8|474|cc|1|1|276,474.605,1.3747,22.8602,67107.4,14.4742,False,69.0|276,474
1,8|474|cc|2|1|276,474.605,1.3747,17.6426,67107.4,14.4742,False,69.0|276,474
1,8|474|cc|3|1|276,474.605,1.3747,26.3082,67107.4,14.4742,False,69.0|276,474
1,8|474|cc|4|1|276,474.605,1.3747,76.3897,67107.4,14.4742,False,69.0|276,474
1,8|474|cc|5|1|276,474.605,1.3747,166.892,67107.4,14.4742,False,69.0|276,474
1,8|474|cc|6|1|276,474.605,1.3747,25.4097,67107.4,14.4742,False,69.0|276,474
1,8|474|cc|7|1|276,474.605,1.3747,1.65404,67107.4,14.4742,False,69.0|276,474
1,8|474|cc|8|1|276,474.605,1.3747,1160.55,67107.4,14.4742,False,69.0|276,474
1,8|474|sample|10|276,474.605,1.70004,47.4337,67107.4,14.4742,True,32.0|276,474
1,8|474|sample|11|276,474.605,1.37469,11.0999,67107.4,14.4742,True,22.0|276,474
1,8|474|sample|12|276,474.605,1.37469,11.3188,67107.4,14.4742,True,22.0|276,474
1,8|474|sample|3|276,474.605,1.37468,1.67527,67107.4,14.4742,True,55.0|276,474
1,8|474|sample|4|276,474.605,1.37468,1.76085,67107.4,14.4742,True,55.0|276,474
1,8|474|sample|5|276,474.605,1.37468,1.37991,67107.4,14.4742,True,55.0|276,474
1,8|474|sample|6|276,474.605,1.37468,1.68483,67107.4,14.4742,True,55.0|276,474
1,8|474|sample|7|276,474.605,1.70004,40.5053,67107.4,14.4742,True,32.0|276,474
1,8|474|sample|8|276,474.605,1.70004,42.4125,67107.4,14.4742,True,32.0|276,474
1,8|474|sample|9|276,474.605,1.70004,47.9284,67107.4,14.4742,True,32.0|276,474
1,8|474|vc|1|2|276,474.605,1.3747,17.691,67107.4,14.4742,False,69.0|276,474
1,8|474|vc|2|2|276,474.605,1.3747,9.85896,67107.4,14.4742,False,69.0|276,474
